Model,Accuracy_Mean,Accuracy_SD,Sensitivity_Mean,Sensitivity_SD,Specificity_Mean,Specificity_SD,F1_Mean,F1_SD,ROC_AUC_Mean,ROC_AUC_SD,PR_AUC_Mean,PR_AUC_SD,Brier_Mean,Brier_SD,ROC_AUC_95_CI,Accuracy_95_CI,Optimal_Threshold,Opt_Sensitivity,Opt_Specificity,Rank,p_value_vs_Top
Logistic Regression,0.6634491634491634,0.1340373378107678,0.5924301075268817,0.1674629828307397,0.9166666666666667,0.07453559924999298,0.7155016784609448,0.13109318012186805,0.9115017921146952,0.062420105947894884,0.9686699054726499,0.02391743642387816,0.19157898321070024,0.044577551024532355,0.822 - 1.000,43.2% - 81.0%,0.512,0.578,0.979,1,Ref (Top)
Support Vector Machine (SVM),0.7680823680823682,0.0834802648159567,0.8627956989247312,0.13446897568804567,0.5666666666666668,0.34318767136623335,0.845167361374258,0.06177751067041047,0.8915663082437275,0.06276900956532529,0.9611898584176565,0.02523035233099655,0.15869513783993522,0.04047394414228841,0.808 - 0.989,66.7% - 89.2%,0.87,0.585,0.896,2,< 0.0001 *
Multi-Layer Perceptron (MLP),0.8128700128700129,0.07055232591429149,0.8750537634408603,0.07917484029587289,0.6833333333333335,0.23804761428476168,0.8735412017890967,0.050413083470842376,0.8846129032258065,0.09174569383464373,0.9535054117095996,0.0426942556736167,0.1673606609434179,0.06684140751141186,0.739 - 0.989,73.8% - 94.6%,0.536,0.871,0.646,3,0.0028 *
CatBoost,0.7572715572715574,0.07107510488417179,0.8690322580645161,0.07984376002273538,0.5166666666666667,0.3590109871423003,0.8430864980815131,0.045686490374751955,0.8756200716845878,0.10221854404799822,0.9511604464947025,0.041948728144565066,0.1652166737007436,0.0499975885268961,0.747 - 1.000,66.7% - 86.5%,0.931,0.483,0.979,4,0.0007 *
Random Forest,0.7267696267696269,0.0723400057367127,0.8363440860215053,0.09859787047616678,0.5,0.380058475033046,0.8208881272037283,0.04652414981775437,0.8561666666666666,0.10272443991637849,0.9462787266389838,0.0428782381560385,0.16520030566280566,0.04197091108077567,0.713 - 0.970,61.9% - 83.8%,0.95,0.442,1.0,5,< 0.0001 *
LightGBM,0.6934362934362933,0.1241069695114032,0.7734623655913978,0.0979499047282929,0.5333333333333333,0.34399612400917157,0.7894750285675874,0.09054970555492876,0.8428745519713261,0.13312576705964058,0.9421959540983041,0.05019382416758172,0.19252822336634975,0.061206747268698604,0.606 - 0.978,47.6% - 83.8%,0.848,0.442,0.917,6,0.0084 *
XGBoost,0.7646074646074646,0.11876755815546446,0.8668387096774194,0.06508017236995876,0.55,0.39299420408505326,0.8461966243380621,0.07892176107739332,0.8410716845878136,0.15181059854537884,0.9354811835660394,0.057281826986430445,0.17103170305490495,0.09490448261610683,0.583 - 1.000,61.9% - 91.9%,0.961,0.51,0.896,7,0.0145 *
